$OWN,0,311000232,0,12.9,12.9,2.0983,51.3617,8,8,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,2.0317,51.3683,42,42,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,2.0833,51.4067,230,230,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,6,6,2.0833,51.3983,347,347,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.2,25.2,2.075,51.3733,51,51,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,12.9,12.9,2.0982,51.362,8,8,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,2.0319,51.3686,42,42,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,2.0829,51.4064,230,230,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,6,6,2.0833,51.3985,347,347,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.2,25.2,2.075,51.374,51,51,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,12.9,12.9,2.0982,51.3624,8,8,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,2.0322,51.3689,42,42,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,2.0825,51.4061,230,230,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,6,6,2.0832,51.3986,347,347,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.2,25.2,2.0749,51.3747,51,51,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,12.9,12.9,2.0981,51.3628,8,8,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,2.0324,51.3692,42,42,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,2.082,51.4059,230,230,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,6,6,2.0832,51.3988,347,347,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.2,25.2,2.0749,51.3754,51,51,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,12.9,12.9,2.098,51.3631,8,8,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,2.0327,51.3695,42,42,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,2.0816,51.4056,230,230,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,6,6,2.0831,51.3989,347,347,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.2,25.2,2.0749,51.3761,51,51,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,12.9,12.9,2.0979,51.3635,8,8,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,2.033,51.3698,42,42,0.0,0.0,,1,,,,,,,,,,,,,,,*70
