0000$OWN,0,311000232,0,0.0,15.3,51.80833,2.66000,343,343,0.0,0.0,,1
0000$AIS,0,151111111,0,0.0,2.0,51.82000,2.64167,018,018,0.0,0.0,,1
0000$AIS,0,251111111,0,0.0,15.6,51.86500,2.60333,132,132,0.0,0.0,,1
0000$AIS,0,351111111,0,0.0,13.0,51.87333,2.61667,228,228,0.0,0.0,,1
0000$AIS,0,451111111,0,0.0,7.7,51.88000,2.67333,225,225,0.0,0.0,,1
0000$AIS,0,551111111,0,0.0,4.0,51.86500,2.68167,213,213,0.0,0.0,,1
0000$AIS,0,651111111,0,0.0,10.9,51.87333,2.69833,220,220,0.0,0.0,,1
0020$OWN,0,311000232,0,0.0,15.3,51.89000,2.65833,343,343,0.0,0.0,,1
0020$AIS,0,151111111,0,0.0,2.0,51.883333,2.64833,018,018,0.0,0.0,,1
0020$AIS,0,251111111,0,0.0,15.6,51.81167,2.70333,132,132,0.0,0.0,,1
0020$AIS,0,351111111,0,0.0,13.0,51.82667,2.53167,228,228,0.0,0.0,,1
0020$AIS,0,451111111,0,0.0,7.7,51.85333,2.62167,225,225,0.0,0.0,,1
0020$AIS,0,551111111,0,0.0,4.0,51.84833,2.66000,213,213,0.0,0.0,,1
0020$AIS,0,651111111,0,0.0,10.9,51.82667,2.63333,220,220,0.0,0.0,
