$OWN,0,311000232,0,18,18,1.5,51,15,15,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,1.4833,51.0083,11,11,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,1.55,51.07,231,231,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,21.5,21.5,1.0063,51.0683,273,273,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.3,25.3,1.585,51.0267,296,296,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,551111111,0,15,15,1.5717,51.0167,284,284,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,18,18,1.5002,51.0005,15,15,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,1.4834,51.0087,11,11,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,1.5495,51.0697,231,231,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,21.5,21.5,1.0112,51.0681,273,273,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.3,25.3,1.584,51.027,296,296,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,551111111,0,15,15,1.571,51.0168,284,284,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,18,18,1.5005,51.0009,15,15,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,1.4836,51.0091,11,11,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,1.549,51.0694,231,231,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,351111111,0,21.5,21.5,1.0161,51.0679,273,273,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,451111111,0,25.3,25.3,1.583,51.0273,296,296,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,551111111,0,15,15,1.5704,51.0169,284,284,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$OWN,0,311000232,0,18,18,1.5007,51.0014,15,15,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,151111111,0,15,15,1.4837,51.0095,11,11,0.0,0.0,,1,,,,,,,,,,,,,,,*70
$AIS,0,251111111,0,15,15,1.5485,51.0691,231,231,0.0,0.0,,1,,,,,,,,,,,,,,,*70
