100;-35;169.75
100;-34;168
100;-33;166.75
100;-32;165.75
100;-31;165.25
100;-30;165
100;-29;165
100;-28;165.5
100;-27;166.125
100;-26;167.125
100;-25;189.375
100;-24;190.375
100;-23;191.125
100;-22;191.75
100;-21;192.125
100;-20;192.5
100;-19;192.75
100;-18;192.75
100;-17;192.625
100;-16;192.5
100;-15;192.25
100;-14;191.875
100;-13;191.25
100;-12;190.5
100;-11;189.5
100;-10;188.5
100;-9;187
100;-8;185.375
100;-7;183.25
100;-6;180.75
100;-5;177.625
100;-4;173.625
100;-3;168.5
100;-2;161.75
100;-1;152.125
100;0;137.375
100;1;116.25
100;2;97.375
100;3;90.25
100;4;81.625
100;5;104.625
100;6;121
100;7;133.375
100;8;142.125
100;9;149.5
100;10;155.25
100;11;160.25
100;12;164.375
100;13;167.75
100;14;171.625
100;15;174.25
100;16;176.75
100;17;178.125
100;18;180.5
100;19;182.875
100;20;184.625
100;21;185.875
100;22;187.625
100;23;188.625
100;24;190.375
100;25;191.375
100;26;193
100;27;194
100;28;194.625
100;29;196.125
100;30;197
100;31;198.5
100;32;199.125
100;33;200
100;34;200.5
100;35;201.875
300;-35;147.875
300;-34;147.375
300;-33;147.125
300;-32;147.125
300;-31;147.125
300;-30;147.125
300;-29;147.375
300;-28;147.625
300;-27;147.875
300;-26;148.25
300;-25;148.75
300;-24;149.25
300;-23;149.875
300;-22;150.625
300;-21;151.75
300;-20;153.125
300;-19;153.375
300;-18;153.25
300;-17;152.875
300;-16;152.375
300;-15;151.625
300;-14;150.625
300;-13;149.375
300;-12;147.875
300;-11;146
300;-10;143.75
300;-9;141.125
300;-8;137.75
300;-7;133.75
300;-6;128.75
300;-5;122.5
300;-4;114.25
300;-3;103
300;-2;86.625
300;-1;60.25
300;0;4.5
300;1;-0.625
300;2;-0.625
300;3;-0.625
300;4;-0.625
300;5;25.5
300;6;47.375
300;7;63.375
300;8;75.75
300;9;85.625
300;10;93.5
300;11;99.875
300;12;105.875
300;13;110.75
300;14;115.25
300;15;119.125
300;16;122.625
300;17;125.875
300;18;128.875
300;19;131.375
300;20;133.75
300;21;136
300;22;138.375
300;23;140.375
300;24;142.125
300;25;144.25
300;26;145.625
300;27;147.625
300;28;148.875
300;29;150.5
300;30;151.875
300;31;153.125
300;32;154.75
300;33;155.875
300;34;157
300;35;158.5
500;-35;128.625
500;-34;128.75
500;-33;128.875
500;-32;129
500;-31;129.25
500;-30;129.5
500;-29;129.625
500;-28;129.875
500;-27;130
500;-26;130.125
500;-25;130.25
500;-24;130.25
500;-23;130.125
500;-22;130
500;-21;129.75
500;-20;129.375
500;-19;128.875
500;-18;128.25
500;-17;127.375
500;-16;126.5
500;-15;125.25
500;-14;123.75
500;-13;122
500;-12;119.875
500;-11;117.25
500;-10;114.25
500;-9;110.625
500;-8;106.125
500;-7;100.75
500;-6;94
500;-5;85.375
500;-4;74
500;-3;58.25
500;-2;34.75
500;-1;-0.625
500;0;-0.625
500;1;-0.625
500;2;-0.625
500;3;-0.625
500;4;-0.625
500;5;-0.625
500;6;-0.625
500;7;15.125
500;8;29.5
500;9;40.75
500;10;50
500;11;57.75
500;12;64.625
500;13;70.375
500;14;75.5
500;15;80
500;16;84.125
500;17;87.75
500;18;91.125
500;19;94.25
500;20;97.125
500;21;99.75
500;22;102.375
500;23;104.75
500;24;106.875
500;25;109.125
500;26;110.875
500;27;113
500;28;114.625
500;29;116.625
500;30;118.125
500;31;119.75
500;32;121.375
500;33;122.75
500;34;124.25
500;35;125.75
700;-35;110
700;-34;110.375
700;-33;110.75
700;-32;111.125
700;-31;111.5
700;-30;111.75
700;-29;112
700;-28;112.125
700;-27;112.25
700;-26;112.25
700;-25;112.125
700;-24;112
700;-23;111.625
700;-22;111.25
700;-21;110.75
700;-20;109.875
